id,keyword
2-s2.0-85054885984,Growth
2-s2.0-85054885984,Profitability
2-s2.0-85054885984,Size
2-s2.0-85054885984,Advanced glycation end-products
2-s2.0-85063732788,Boesenbergia rotunda
2-s2.0-85063732788,Diabetes
2-s2.0-85063732788,Methylglyoxal
2-s2.0-85063732788,Pinocembrin
2-s2.0-85063732788,Structure-activity relationship
2-s2.0-85058918074,Catalase
2-s2.0-85058918074,Chili
2-s2.0-85058918074,Colletotrichum
2-s2.0-85058918074,Tomato
2-s2.0-85058918074,Ansible
2-s2.0-85058918074,Association rules
2-s2.0-85058918074,Data mining
2-s2.0-85055723883,Pull Request
2-s2.0-85055723883,Classifiers technique
2-s2.0-85055723883,Intrusion Detection System
2-s2.0-85055723883,Machine Learning
2-s2.0-85054676706,NSL-KDD
2-s2.0-85054676706,Performance Analysis
2-s2.0-85054676706,Supervised Learning
2-s2.0-85054676706,Alternative medicine
2-s2.0-85054676706,Diabetes
2-s2.0-85051292687,Fermented foods
2-s2.0-85051292687,charge separators
2-s2.0-85051292687,g-C3N4 composite
2-s2.0-85051292687,hydrogen
2-s2.0-85051292687,photocatalysis
2-s2.0-85051292687,seawater splitting
2-s2.0-85063505074,Character Controller
2-s2.0-85063505074,Deep Learning
2-s2.0-85063505074,Mocap
2-s2.0-85063505074,Neural Network
2-s2.0-85063505074,Simulation
2-s2.0-85063429603,Inverted pendulum on cart
2-s2.0-85063429603,Nonlinear model predictive control
2-s2.0-85063429603,Nonlinear systems
2-s2.0-85063429603,Optimal control
2-s2.0-85063429603,State observer
2-s2.0-85063429603,Basic fibroblast growth factor
2-s2.0-85058983048,Stem cells isolated from human exfoliated deciduous teeth
2-s2.0-85058983048,Convolutional Neural Network
2-s2.0-85058983048,Deep Learning
2-s2.0-85058983048,Event Embedding
2-s2.0-85055499333,Risk-Reward Function
2-s2.0-85055499333,Stock Market Prediction
2-s2.0-85055499333,Affine Transforms
2-s2.0-85055499333,Computer-Aided Diagnosis
2-s2.0-85055499333,Convolutional Neural Network
2-s2.0-85061839078,Tuberculosis
2-s2.0-85061839078,Functional fitness
2-s2.0-85061839078,Khon exercise
2-s2.0-85061839078,Older persons
2-s2.0-85061839078,Alcohol consumption
2-s2.0-85060496074,Buddhist Lent
2-s2.0-85060496074,Community-based program
2-s2.0-85060496074,Social return on investment
2-s2.0-85060496074,Elderly
2-s2.0-85060496074,Hypertension
2-s2.0-85058320961,Dental hygiene
2-s2.0-85058320961,Dry brushing
2-s2.0-85058320961,Fluoride retention
2-s2.0-85058320961,Fluoride toothpaste
2-s2.0-85062801280,Mouth rinsing
2-s2.0-85062801280,Pharmacokinetic model
2-s2.0-85062801280,Calmodulin
2-s2.0-85062801280,CaM
2-s2.0-85062801280,Rice
2-s2.0-85062801280,Salt stress
2-s2.0-85062797130,Transcriptome
2-s2.0-85062797130,3d printing
2-s2.0-85062797130,Multi-spectral imaging
2-s2.0-85062797130,Spectral reproduction
2-s2.0-85066101363,Coffee ground/tea waste
2-s2.0-85066101363,Rain tree (Samanea Saman)
2-s2.0-85066101363,Inventory systems
2-s2.0-85066099543,Mixed-integer programming
2-s2.0-85066099543,Multi-echelon systems
2-s2.0-85066099543,Seasonal demand
2-s2.0-85066099543,Circumferential through-wall crack
2-s2.0-85066083201,Elbow
2-s2.0-85066083201,Failure assessment diagram
2-s2.0-85066083201,J-integral
2-s2.0-85066083201,Pipe
2-s2.0-85066078842,Reference stress method
2-s2.0-85066078842,GNSS
2-s2.0-85066078842,PPP
2-s2.0-85066078842,PWV
2-s2.0-85066078842,Troposphere
2-s2.0-85066078842,Water content
2-s2.0-85058555067,Arbuscular mycorrhizal
2-s2.0-85058555067,Encapsulation
2-s2.0-85058555067,Organic fertilizer
2-s2.0-85058555067,Pellets
2-s2.0-85058555067,Direct and indirect water usage
2-s2.0-85066105607,Economic system
2-s2.0-85066105607,Gross domestic product
2-s2.0-85066105607,Input
2-s2.0-85060316344,Output model
2-s2.0-85060316344,Water usage
2-s2.0-85060316344,DNA sequencing
2-s2.0-85060315563,Molecular biology
2-s2.0-85060315563,Nanochannel
2-s2.0-85060315563,Nanofabrication
2-s2.0-85060315563,Nanopore
2-s2.0-85060304153,Sensor
2-s2.0-85060304153,CO2 emissions
2-s2.0-85060304153,Economic growth
2-s2.0-85060304153,Long-termrelationship
2-s2.0-85060304153,Policy modeling
2-s2.0-85060304153,SEM-VECMmodel
2-s2.0-85060301990,Composite
2-s2.0-85060301990,Esterification
2-s2.0-85060301990,Mechanochemistry
2-s2.0-85060301990,Microcrystalline cellulose
2-s2.0-85060301990,Surface modification
2-s2.0-85060284558,Alkaline hot compressed water fractionation
2-s2.0-85060284558,Lignin depolymerization
2-s2.0-85060284558,Microwave reaction
2-s2.0-85060284558,Palm empty fruit bunch
2-s2.0-85060284558,Phenolic compounds
2-s2.0-85060284222,Electrocatalysts
2-s2.0-85060284222,g-C3N4
2-s2.0-85060284222,HER
2-s2.0-85060284222,Ni2B
2-s2.0-85060284222,fibrinogen
2-s2.0-85060284222,liver biopsy
2-s2.0-85060277158,sheep-derived fibrin glue
2-s2.0-85060277158,swine
2-s2.0-85060277158,thrombin
2-s2.0-85060277158,enterococcus
2-s2.0-85060277158,pig
2-s2.0-85060277158,plasmid
2-s2.0-85060520670,Thai-Lao border provinces
2-s2.0-85060520670,angiogenesis
2-s2.0-85060520670,computed tomography
2-s2.0-85060520670,dog
2-s2.0-85060520670,oral
2-s2.0-85058332469,tumor
2-s2.0-85058332469,chicken
2-s2.0-85058332469,efficacy
2-s2.0-85058332469,Newcastle disease virus
2-s2.0-85058332469,recombinant HVT-NDV vaccine
2-s2.0-85057626112,Emergence
2-s2.0-85057626112,Novel
2-s2.0-85057626112,Porcine epidemic diarrhea virus
2-s2.0-85057626112,Spike gene
2-s2.0-85057626112,Thailand
2-s2.0-85057578970,Adrenal glands
2-s2.0-85057578970,Cats
2-s2.0-85057578970,Computed Tomography
2-s2.0-85057578970,Normal
2-s2.0-85152969667,Ultrasonography
2-s2.0-85152969667,Aedes aegypti
2-s2.0-85152969667,Bacteria
2-s2.0-85152969667,Culex quinquefasciatus
2-s2.0-85152969667,Midgut
2-s2.0-85152957456,Thailand
2-s2.0-85152957456,Google Trends
2-s2.0-85152957456,Nowcasting
2-s2.0-85152957456,cat
2-s2.0-85152957456,congestive heart failure
2-s2.0-85152923178,Bone mineral contents
2-s2.0-85152923178,Estrogen deficiency
2-s2.0-85152923178,Macaca fascicularis
2-s2.0-85152923178,Osteoporosis
2-s2.0-85152923178,Pueraria mirifica
2-s2.0-85147427223,X-ray
2-s2.0-85147427223,Boolean satis?ability problems
2-s2.0-85147427223,Symmetry
2-s2.0-85147427223,Approximation algorithm
2-s2.0-85134033351,Division
2-s2.0-85134033351,Double-base number system
2-s2.0-85134033351,Integer
2-s2.0-85134033351,Preprocessing table
2-s2.0-85134033351,Bi LSTM
2-s2.0-85130690048,Convolutional Neural Network
2-s2.0-85130690048,Detection
2-s2.0-85130690048,Hard Disk Drive
2-s2.0-85130690048,LSTM
2-s2.0-85130690048,Support Vector Machine
2-s2.0-85120882431,Voice Coil Motor
2-s2.0-85120882431,Cosmology: observations
2-s2.0-85120882431,Galaxies: evolution
2-s2.0-85120882431,Galaxies: formation
2-s2.0-85120882431,Galaxies: high-redshift
2-s2.0-85091699096,Coloured petri nets
2-s2.0-85091699096,Model
2-s2.0-85090293808,Petri nets
2-s2.0-85090293808,Railway
2-s2.0-85090293808,Timed petri nets
2-s2.0-85090293808,Train
2-s2.0-85082684208,Train schedule
2-s2.0-85082684208,BPEL
2-s2.0-85082684208,Decomposition pattern
2-s2.0-85082684208,Microservices
2-s2.0-85082684208,SOA
2-s2.0-85082684208,Atopic dermatitis
2-s2.0-85076352482,Barrier
2-s2.0-85076352482,Filaggrin
2-s2.0-85076340852,Lipid
2-s2.0-85076340852,Tight junction
2-s2.0-85076340852,Treatment
2-s2.0-85076340852,Microbial Transglutaminase (MTGase)
2-s2.0-85076340852,Sodium Bicarbonate
2-s2.0-85076335862,Sodium Tripolyphosphate (STPP)
2-s2.0-85076335862,Water Holding Capacity
2-s2.0-85076335862,White Shrimp
2-s2.0-85076335862,Chikungunya
2-s2.0-85076335862,Dengue
2-s2.0-85076335862,Mosquitoes
2-s2.0-85076335862,Thailand
2-s2.0-85071461260,Zika
2-s2.0-85071461260,Germination
2-s2.0-85071461260,Herbicidal activity
2-s2.0-85071461260,Plant disease
2-s2.0-85071461260,Senna spectabilis
2-s2.0-85070812664,D-minimal
2-s2.0-85070812664,Definable sets
2-s2.0-85070812664,Expansion of the real field
2-s2.0-85070812664,Zero sets
2-s2.0-85070812664,Biosensor
2-s2.0-85070812664,Flavonoid
2-s2.0-85070812664,Metabolic engineering
2-s2.0-85070806504,Microbial systems
2-s2.0-85070806504,Synthetic biology
2-s2.0-85070806504,Neurite outgrowth
2-s2.0-85070806504,Neuro2a cells
2-s2.0-85069328095,Neurodegenerative diseases
2-s2.0-85069328095,Ten-4
2-s2.0-85069328095,Agitation
2-s2.0-85069328095,Emergence delirium
2-s2.0-85069328095,General anaesthesia
2-s2.0-85069328095,Cerebral palsy
2-s2.0-85064709833,EMG biofeedback
2-s2.0-85064709833,Upper extremity and hand function
2-s2.0-85064709833,Lipschitz retraction
2-s2.0-85064709833,Optimal retraction
2-s2.0-85064709833,Spherical cup
2-s2.0-85063690066,Acinetobacter nosocomialis
2-s2.0-85063690066,Acinetobacter pittii
2-s2.0-85063690066,Carbapenem resistance
2-s2.0-85063690066,Carbapenemase
2-s2.0-85063690066,Efflux pump
2-s2.0-85063522895,Outer membrane protein
2-s2.0-85063522895,Amyloidosis
2-s2.0-85063522895,Dogs
2-s2.0-85063522895,Endocarditis
2-s2.0-85061602467,Enterobacter
2-s2.0-85061602467,(+)-α-Tocuspirone
2-s2.0-85061602467,Cytotoxicity
2-s2.0-85061602467,Dalbergia velutina
2-s2.0-85061602467,Leguminosae
2-s2.0-85060882963,Bending strength
2-s2.0-85060882963,Compressive strength
2-s2.0-85060882963,Internode
2-s2.0-85060882963,Node
2-s2.0-85060882963,Tensile strength
2-s2.0-85060856625,Thai Dendrocalamus Giganteus Bamboo (TDG)
2-s2.0-85060856625,amphipol
2-s2.0-85060856625,deuteration
2-s2.0-85060856625,membrane proteins
2-s2.0-85060664134,small-angle neutron scattering
2-s2.0-85060664134,Candida albicans
2-s2.0-85060664134,Candida dubliniensis
2-s2.0-85060222612,Candida parapsilosis
2-s2.0-85060222612,Dendritic cells
2-s2.0-85060222612,Mannan
2-s2.0-85060222612,Oral candidiasis
2-s2.0-85060162536,Asia
2-s2.0-85060162536,Hepatitis
2-s2.0-85060162536,Immunosuppression
2-s2.0-85059675381,Kidney transplantation
2-s2.0-85059675381,Virus diseases
2-s2.0-85059675381,Hadron-Hadron scattering (experiments)
2-s2.0-85059675381,Jet physics
2-s2.0-85059675381,Jets
2-s2.0-85059675381,AdS-CFT Correspondence
2-s2.0-85059609200,Conformal and W Symmetry
2-s2.0-85059609200,Integrable Field Theories
2-s2.0-85059609200,Apoptosis
2-s2.0-85059609200,Bronchogenic carcinoma
2-s2.0-85059566810,Cathepsin S
2-s2.0-85059566810,Melittin
2-s2.0-85059566810,Tumor-associated macrophage
2-s2.0-85059566810,Decrease in mortality
2-s2.0-85059556193,multicenter
2-s2.0-85059556193,pediatric
2-s2.0-85059556193,septic shock
2-s2.0-85059556193,severe sepsis
2-s2.0-85059556193,surviving sepsis campaign care bundles
2-s2.0-85059556193,Healing
2-s2.0-85059500714,Post-gastric ESD
2-s2.0-85059500714,PPI
2-s2.0-85059500714,Ulcer
2-s2.0-85059500714,Galaxies: Active
2-s2.0-85059230299,Gene co-expression network
2-s2.0-85059230299,Network analysis
2-s2.0-85059230299,Rice genome
2-s2.0-85059230299,RNA sequencing
2-s2.0-85059230299,Salt stress
2-s2.0-85059230299,Salt-tolerant genes
2-s2.0-85059213990,Two-state networks
2-s2.0-85059213990,‘khao dawk mali 105’
2-s2.0-85059213990,Galaxies: evolution
2-s2.0-85059213990,Galaxies: high redshift
2-s2.0-85059213990,Galaxies: ISM-galaxies: star formation
2-s2.0-85059087917,Galaxies: starburst
2-s2.0-85059087917,Submillimetre: galaxies
2-s2.0-85059087917,Booting stage
2-s2.0-85058935797,Light saturation point
2-s2.0-85058935797,Nucleolin
2-s2.0-85058935797,Photosynthesis
2-s2.0-85058935797,RNA binding protein
2-s2.0-85058926637,Salt stress
2-s2.0-85058926637,Transcriptome
2-s2.0-85058926637,Institutional theory
2-s2.0-85058926637,Legitimacy threat
2-s2.0-85058926637,Public sector accounting
2-s2.0-85058885422,Gene flow
2-s2.0-85058885422,Lyle's flying fox
2-s2.0-85058885422,Population
2-s2.0-85058885422,Pteropus lylei
2-s2.0-85058885422,Summarization
2-s2.0-85058885422,Thai
2-s2.0-85058742898,Word segmentation
2-s2.0-85058742898,atrial fibrillation
2-s2.0-85058742898,contrast-induced nephropathy
2-s2.0-85058742898,mortality
2-s2.0-85058742898,Information retrieval
2-s2.0-85058716387,Keyword extraction
2-s2.0-85058716387,Social media mining
2-s2.0-85058716387,Stop words
2-s2.0-85058716387,adenovirus
2-s2.0-85058716387,cidofovir
2-s2.0-85058716387,intravenous immunoglobulin
2-s2.0-85058457964,EmrAB
2-s2.0-85058457964,MexAB-OprM
2-s2.0-85058457964,PA2100
2-s2.0-85058457964,PA3898
2-s2.0-85058457964,Phenazine
2-s2.0-85058457964,Pseudomonas aeruginosa
2-s2.0-85058457964,acute coronary syndrome
2-s2.0-85058457964,Cholesterol
2-s2.0-85058457964,coronary heart disease
2-s2.0-85058453548,lipids
2-s2.0-85058453548,myocardial infarction
2-s2.0-85058453548,statins
2-s2.0-85058453548,Conduct
2-s2.0-85058453548,Education
2-s2.0-85058382112,Ethics
2-s2.0-85058382112,Medical physics
2-s2.0-85058382112,Research
2-s2.0-85058382112,Cine-magnetic resonance (MR) imaging
2-s2.0-85058382112,Deglutition
2-s2.0-85058382112,Movement
2-s2.0-85058382112,Tongue
2-s2.0-85058362649,condoms
2-s2.0-85058362649,primary prevention
2-s2.0-85058362649,risk reduction behavior
2-s2.0-85058362649,sexually transmitted diseases
2-s2.0-85057601344,Linear low-density polyethylene
2-s2.0-85057601344,Ziegler-natta catalysts
2-s2.0-85057601344,bleeding
2-s2.0-85057601344,endoscopic submucosal dissection
2-s2.0-85057601344,gastric neoplasms
2-s2.0-85057554441,proton-pump inhibitor
2-s2.0-85057554441,vonoprazan
2-s2.0-85057554441,Bamboo
2-s2.0-85057554441,Charcoal production
2-s2.0-85057554441,Heat distribution pipe
2-s2.0-85057539530,Metal kiln
2-s2.0-85057539530,Wood vinegar
2-s2.0-85057539530,Chronic depression
2-s2.0-85057420667,Forced swimming test
2-s2.0-85057420667,LPS
2-s2.0-85057420667,Neuroinflammation
2-s2.0-85057420667,SAT1
2-s2.0-85057237051,Marcia optima
2-s2.0-85057237051,Metals
2-s2.0-85057237051,Phuket
2-s2.0-85057237051,Risk assessment
2-s2.0-85057147112,Sediment
2-s2.0-85057147112,Ammonia-oxidizing archaea
2-s2.0-85057147112,Ammonia-oxidizing bacteria
2-s2.0-85057147112,Autotrophic growth
2-s2.0-85057147112,DNA-stable isotope probing
2-s2.0-85057147112,Wastewater treatment plant
2-s2.0-85057083547,Lagerstroemia speciosa
2-s2.0-85057083547,Pterocarpus indicus
2-s2.0-85057083547,Sap flux density
2-s2.0-85057083547,Swietenia macrophylla
2-s2.0-85057083547,Urban trees
2-s2.0-85057083547,ACEIs
2-s2.0-85056354694,Hypertension
2-s2.0-85056354694,Meta-analysis
2-s2.0-85056354694,Breast cancer
2-s2.0-85056354694,Digital image analysis
2-s2.0-85056354694,Dual in-situ hybridization
2-s2.0-85056353082,HER2
2-s2.0-85056353082,Chitosan
2-s2.0-85056353082,Chromosome maintenance protein 1
2-s2.0-85056353082,Damnacanthal
2-s2.0-85056335704,Nanoparticles
2-s2.0-85056335704,Non-steroidal anti-inflammatory drugs- activated gene
2-s2.0-85056335704,Merozoite surface protein 1 (MSP1)
2-s2.0-85056335704,Merozoite surface protein 3 (MSP3)
2-s2.0-85056276634,Plasmodium vivax
2-s2.0-85056276634,Polymorphism
2-s2.0-85056276634,Clavicle
2-s2.0-85056276634,Coracohumeral ligament
2-s2.0-85056265944,Coracoid process
2-s2.0-85056265944,Glenohumeral joint capsule
2-s2.0-85056265944,Pectoralis minor muscle
2-s2.0-85056265944,Variation
2-s2.0-85056265944,Cracked beam
2-s2.0-85056200000,Scaling law
2-s2.0-85056200000,Structural similarity
2-s2.0-85056200000,The principle of conservation of energy
2-s2.0-85056200000,Bacterial cellulose
2-s2.0-85056200000,Dressing
2-s2.0-85056162378,PHMB
2-s2.0-85056162378,Sericin
2-s2.0-85056162378,STSG donor site
2-s2.0-85056162378,Treatment
2-s2.0-85056162378,family caregiving
2-s2.0-85056162378,intergenerational support
2-s2.0-85055877820,long-term care
2-s2.0-85055877820,older persons
2-s2.0-85055877820,Thailand
2-s2.0-85055877820,Cadmium
2-s2.0-85055877820,Contaminant transport
2-s2.0-85055710234,Groundwater
2-s2.0-85055710234,HYDRUS-1D
2-s2.0-85055710234,Montmorillonite colloids
2-s2.0-85055710234,Elastic layer
2-s2.0-85055710234,Foundations
2-s2.0-85055624059,Poroelasticity
2-s2.0-85055624059,Soil–structure interaction
2-s2.0-85055624059,Transversely isotropic
2-s2.0-85055624059,Vertical vibrations
2-s2.0-85055624059,cancer stem cells
2-s2.0-85055561549,CD133
2-s2.0-85055561549,cell culture model
2-s2.0-85055561549,chorioallantoic membrane assay
2-s2.0-85055561549,hepatocellular carcinoma
2-s2.0-85055561549,tumour cell aggressiveness
2-s2.0-85055561549,alkaline pretreatment
2-s2.0-85055491350,bioethanol
2-s2.0-85055491350,Napier grass
2-s2.0-85055491350,pretreatment
2-s2.0-85055491350,simultaneous saccharification and fermentation
2-s2.0-85055205421,Bio-oil
2-s2.0-85055205421,Biochar
2-s2.0-85055205421,Lightweight biomass
2-s2.0-85055205421,Pyrolysis
2-s2.0-85055205421,Sugarcane leaves
2-s2.0-85055199276,Cobb angle
2-s2.0-85055199276,Dowager's hump
2-s2.0-85055199276,Round back
2-s2.0-85055199276,Spine
2-s2.0-85055049678,Isotherm model
2-s2.0-85055049678,LLE
2-s2.0-85055049678,Optimization
2-s2.0-85055049678,Pd(II) purification
2-s2.0-85055049678,RSM
2-s2.0-85055049678,Bone lining cells
2-s2.0-85055028853,Gsα
2-s2.0-85055028853,Neutralizing antibody
2-s2.0-85055028853,Osteoblasts
2-s2.0-85055028853,Osteocytes
2-s2.0-85055028853,Sclerostin
2-s2.0-85054801027,Intracatheter
2-s2.0-85054801027,Paradoxical
2-s2.0-85054801027,Peritoneal dialysis (PD)
2-s2.0-85054801027,Alcohol
2-s2.0-85054801027,Dependence
2-s2.0-85054801027,Gabapentin
2-s2.0-85054643077,Heavy drinking
2-s2.0-85054643077,Finite element limit analysis
2-s2.0-85054643077,Hoek-Brown
2-s2.0-85054643077,Lower bound
2-s2.0-85054643077,Rock mass
2-s2.0-85054621002,Semidefinite programming
2-s2.0-85054621002,Insertion
2-s2.0-85054621002,LPL
2-s2.0-85054621002,LPL activity
2-s2.0-85054621002,LPL mass
2-s2.0-85054443060,Benzalkonium chloride
2-s2.0-85054443060,Dexamethasone
2-s2.0-85054443060,Eye drops
2-s2.0-85054443060,Penetration enhancer
2-s2.0-85054443060,ab-initio calculation
2-s2.0-85054443060,Density functional theory
2-s2.0-85054308952,High pressure
2-s2.0-85054308952,II-VI ternary alloys
2-s2.0-85054308952,Phase stability
2-s2.0-85054308952,Immunity
2-s2.0-85054308952,Lactic acid bacteria
2-s2.0-85054308952,Probiotic
2-s2.0-85054194780,proPO system
2-s2.0-85054194780,Shrimp
2-s2.0-85054194780,Vibrio parahaemolyticus
2-s2.0-85054194780,Cytogenetic risks
2-s2.0-85054194780,Induction treatment
2-s2.0-85054184001,Performance status
2-s2.0-85054184001,Senility
2-s2.0-85054184001,Thailand
2-s2.0-85054184001,Biomarkers
2-s2.0-85054184001,Cardiomyopathy
2-s2.0-85054140369,Diabetes mellitus
2-s2.0-85054140369,Diastolic dysfunction
2-s2.0-85054140369,Antimicrobials
2-s2.0-85054140369,Flavobacterium columnare
2-s2.0-85053893979,Mutation
2-s2.0-85053893979,Quinolone
2-s2.0-85053893979,Resistance
2-s2.0-85053893979,Black TiO2
2-s2.0-85053893979,Glycerol
2-s2.0-85053893979,Photocatalytic oxidation
2-s2.0-85053832338,Reactive oxidizing species
2-s2.0-85053832338,Scavengers
2-s2.0-85053832338,chronic rhinosinusitis
2-s2.0-85053832338,disease severity
2-s2.0-85053832338,endoscopic sinus surgery
2-s2.0-85053832338,eosinophilia rhinitis and nasal polyposis
2-s2.0-85053831669,paranasal sinus disease
2-s2.0-85053831669,recurrence
2-s2.0-85053831669,Covariance
2-s2.0-85053831669,Flow regime
2-s2.0-85053492921,Void fraction
2-s2.0-85053492921,duck Tembusu virus
2-s2.0-85053492921,free-grazing ducks
2-s2.0-85053492921,serological survey
2-s2.0-85053439955,Thailand
2-s2.0-85053439955,dielectric cure monitoring
2-s2.0-85053439955,rubber cure characterization
2-s2.0-85053439955,rubber cure monitoring system
2-s2.0-85053439955,vulcanization
2-s2.0-85053423390,DFT
2-s2.0-85053423390,Dispersion
2-s2.0-85053423390,Indigo
2-s2.0-85053423390,TD-DFT
2-s2.0-85053423390,UV–Visible spectra
2-s2.0-85053423390,Back-arc basin
2-s2.0-85053401902,Basalt
2-s2.0-85053401902,Detrital zircon U-Pb dating
2-s2.0-85053401902,Paleo-Tethys
2-s2.0-85053401902,Sandstone provenance
2-s2.0-85053189146,arterial anastomosis
2-s2.0-85053189146,filler injection
2-s2.0-85053189146,forehead arteries
2-s2.0-85053189146,ocular complication
2-s2.0-85053189146,Associated sigma-algebra
2-s2.0-85053081646,Factorizability
2-s2.0-85053081646,Markov operator
2-s2.0-85053081646,Non-atomic
2-s2.0-85053081646,Aluminum antimonides
2-s2.0-85053081646,Doping
2-s2.0-85053081646,III-V materials
2-s2.0-85053010803,N-type AlSb
2-s2.0-85053010803,Optoelectronic devices
2-s2.0-85053010803,P-type AlSb
2-s2.0-85053010803,Radiation detector
2-s2.0-85053010803,Semiconductor materials
2-s2.0-85052987188,Si substrate
2-s2.0-85052987188,Sputtering deposition
2-s2.0-85052987188,Cortical bone
2-s2.0-85052987188,FcγRIIB
2-s2.0-85052985058,Microindentation
2-s2.0-85052985058,Systemic lupus erythematosus
2-s2.0-85052985058,Cancer cells
2-s2.0-85052985058,Chitosan
2-s2.0-85052985058,Chitosan oligosaccharides
2-s2.0-85052852129,Degradation
2-s2.0-85052852129,Electrical discharge plasma
2-s2.0-85052852129,AL amyloidosis
2-s2.0-85052852129,Amyloid fibril formation
2-s2.0-85052852129,EGCG
2-s2.0-85052749282,Ballistic impact performance
2-s2.0-85052749282,Finite element
2-s2.0-85052749282,Polybenzoxazine
2-s2.0-85052749282,Polymer composite
2-s2.0-85052749282,Carbonic anhydrase inhibitor
2-s2.0-85052749282,Human carbonic anhydrase isozyme II
2-s2.0-85052727555,NCE103
2-s2.0-85052727555,Resazurin
2-s2.0-85052727555,Saccharomyces cerevisiae
2-s2.0-85052727555,Yeast-based assay
2-s2.0-85052727555,End stage kidney disease
2-s2.0-85052652006,Nephrology nurses
2-s2.0-85052652006,Perception
2-s2.0-85052652006,Sexual health issues
2-s2.0-85052652006,allergic
2-s2.0-85052635594,decongestant
2-s2.0-85052635594,rhinitis
2-s2.0-85052635594,steroids
2-s2.0-85052635594,vasoconstrictor
2-s2.0-85052488654,Chemometrics
2-s2.0-85052488654,Hyperspectral imaging
2-s2.0-85052488654,Processed meat
2-s2.0-85052488654,Quality attributes
2-s2.0-85052488654,Shelf life
2-s2.0-85052472790,Wavelength selection
2-s2.0-85052472790,Fabrics/textiles
2-s2.0-85052472790,Fibre/matrix bond
2-s2.0-85052472790,Finite element analysis (FEA)
2-s2.0-85052472790,Layered structures
2-s2.0-85052374832,Alginate
2-s2.0-85052374832,Cancer
2-s2.0-85052374832,Chitosan
2-s2.0-85052374832,Curcumin diglutaric acid
2-s2.0-85052213936,Nanoparticles
2-s2.0-85052213936,bias
2-s2.0-85052213936,cohort studies
2-s2.0-85052213936,evidence
2-s2.0-85052213936,meta-analyses
2-s2.0-85051824569,obesity
2-s2.0-85051824569,risk factors
2-s2.0-85051824569,treatment
2-s2.0-85051824569,umbrella review
2-s2.0-85051824569,Colorimetric detection
2-s2.0-85051824569,Hexavalent chromium
2-s2.0-85051824569,Hollow fiber membrane liquid phase microextraction
2-s2.0-85051824569,Microfluidic paper-based analytical devices
2-s2.0-85051824569,Aujeszky's disease virus
2-s2.0-85051824569,gB
2-s2.0-85051757660,gE
2-s2.0-85051757660,gI
2-s2.0-85051757660,oral fluid
2-s2.0-85051757660,Acemannan
2-s2.0-85051683221,Aloe vera
2-s2.0-85051683221,Bone repair
2-s2.0-85051683221,Histopathology
2-s2.0-85051683221,Microcomputed tomography
2-s2.0-85051683221,Alanine (PubChem CID: 5950)
2-s2.0-85051652467,Aspartate (PubChem CID: 5960)
2-s2.0-85051652467,Citrate (PubChem CID: 31348)
2-s2.0-85051652467,Cysteine (PubChem CID: 5862)
2-s2.0-85051652467,Durian
2-s2.0-85051400106,Durio zibethinus
2-s2.0-85051400106,Flavor
2-s2.0-85051400106,Glutamate (PubChem CID: 33032)
